id,condition,mean_time_diff,max_time_diff,min_time_diff,std_time_diff,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,0.10402547186147185,0.334934,0.01487,0.06161377897041787,231,28.916337,7.988563696708889
2-39-89-25,normal,0.12129506590031434,2.374401987163278,0.003647736527399026,0.25152145573211837,213,53.781141,3.9604961151716735
2-39-139-28,attack,0.08543145061728392,0.314871,0.011708,0.0646374713264244,324,28.916337,11.204738691487792
2-39-139-28,normal,0.0805164433355012,1.2714240382298296,0.0010815538803736757,0.15424552570127567,324,53.781141,6.02441662589494
2-39-131-30,attack,0.09559270750988139,0.387202,0.012413,0.07030125363460209,253,28.916337,8.74937928687164
2-39-131-30,normal,0.10734609674480529,1.640226615964277,0.0014837168325199102,0.18503432029697292,245,53.781141,4.555500226371174
